id,nume_actiune,timestamp,thread_name
1,Add client for spectacle,Wed May 15 20:46:53 EEST 2019,main
2,Add client for spectacle,Wed May 15 20:47:37 EEST 2019,main
3,Add client for spectacle,Wed May 15 20:47:37 EEST 2019,main
4,Add client for spectacle,Wed May 15 20:47:37 EEST 2019,main
5,Add client for spectacle,Wed May 15 20:47:38 EEST 2019,main
6,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
7,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
8,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
9,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
10,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
11,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
12,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
13,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
14,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
15,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
16,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
17,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
18,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
19,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
20,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
21,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
22,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
23,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
24,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
25,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
26,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
27,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
28,Add client for spectacle,Wed May 15 20:48:32 EEST 2019,main
29,Get spectacles name,Wed May 15 20:48:33 EEST 2019,main
30,Select spectacle,Wed May 15 20:49:54 EEST 2019,AWT-EventQueue-0
31,Get selected spectacle,Wed May 15 20:49:54 EEST 2019,AWT-EventQueue-0
32,Get spectacle seats,Wed May 15 20:49:54 EEST 2019,AWT-EventQueue-0
33,Get total to pay for spectacle,Wed May 15 20:50:07 EEST 2019,AWT-EventQueue-0
34,Create Client,Wed May 15 20:50:18 EEST 2019,AWT-EventQueue-0
35,Add client for spectacle,Wed May 15 20:50:18 EEST 2019,AWT-EventQueue-0
36,Get total to pay for spectacle,Wed May 15 20:50:59 EEST 2019,AWT-EventQueue-0
37,Select spectacle,Wed May 15 20:51:02 EEST 2019,AWT-EventQueue-0
38,Get selected spectacle,Wed May 15 20:51:02 EEST 2019,AWT-EventQueue-0
39,Get spectacle seats,Wed May 15 20:51:02 EEST 2019,AWT-EventQueue-0
40,Create Client,Wed May 15 20:51:10 EEST 2019,AWT-EventQueue-0
41,Add client for spectacle,Wed May 15 20:51:10 EEST 2019,AWT-EventQueue-0
42,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
43,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
44,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
45,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
46,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
47,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
48,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
49,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
50,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
51,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
52,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
53,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
54,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
55,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
56,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
57,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
58,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
59,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
60,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
61,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
62,Add client for spectacle,Wed May 15 20:53:03 EEST 2019,main
63,Get spectacles name,Wed May 15 20:53:04 EEST 2019,main
64,Select spectacle,Wed May 15 20:53:08 EEST 2019,AWT-EventQueue-0
65,Get selected spectacle,Wed May 15 20:53:08 EEST 2019,AWT-EventQueue-0
66,Get spectacle seats,Wed May 15 20:53:08 EEST 2019,AWT-EventQueue-0
67,Get total to pay for spectacle,Wed May 15 20:53:19 EEST 2019,AWT-EventQueue-0
68,Create Client,Wed May 15 20:53:24 EEST 2019,AWT-EventQueue-0
69,Add client for spectacle,Wed May 15 20:53:24 EEST 2019,AWT-EventQueue-0
70,Select spectacle,Wed May 15 20:53:36 EEST 2019,AWT-EventQueue-0
71,Get selected spectacle,Wed May 15 20:53:36 EEST 2019,AWT-EventQueue-0
72,Get spectacle seats,Wed May 15 20:53:36 EEST 2019,AWT-EventQueue-0
73,Select spectacle,Wed May 15 20:53:38 EEST 2019,AWT-EventQueue-0
74,Get selected spectacle,Wed May 15 20:53:38 EEST 2019,AWT-EventQueue-0
75,Get spectacle seats,Wed May 15 20:53:38 EEST 2019,AWT-EventQueue-0
76,Add client for spectacle,Wed May 15 20:54:53 EEST 2019,main
77,Add client for spectacle,Wed May 15 20:54:53 EEST 2019,main
78,Add client for spectacle,Wed May 15 20:54:53 EEST 2019,main
79,Add client for spectacle,Wed May 15 20:54:54 EEST 2019,main
80,Add client for spectacle,Wed May 15 20:54:54 EEST 2019,main
81,Add client for spectacle,Wed May 15 20:54:54 EEST 2019,main
82,Add client for spectacle,Wed May 15 20:54:54 EEST 2019,main
83,Add client for spectacle,Wed May 15 20:54:54 EEST 2019,main
